Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7, C8",0603,4,1uF,
"C10, C9",0603,2,15pF,
"C11, C3, C4, C5, C6",0603,5,100nF,
"D1, D2, D3, D4",0603,4,LED,
J1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,USB_C_Receptacle_USB2.0_16P,C2765186
"J2, J3, J4",PinHeader_1x06_P2.54mm_Vertical,3,Conn_01x06,
"R1, R2",0603,2,5.1K,
"R3, R4, R5, R6, R7",0603,5,10K,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,RESET,
SW2,SW-SMD_L3.9-W3.0-P4.45,1,BOOT,
SW3,SW-SMD_L3.9-W3.0-P4.45,1,BTN1,
SW4,SW-SMD_L3.9-W3.0-P4.45,1,BTN2,
U1,SOT-23-3,1,XC6206PxxxMR,
U2,QFN-36-1EP_6x6mm_P0.5mm_EP4.1x4.1mm,1,STM32F103T8Ux,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8Mhz,
