Designator,Mid X,Mid Y,Rotation,Layer
C1,192.2,-87.0,0.0,top
C10,188.1,-65.9,270.0,top
C11,185.1,-69.4,90.0,top
C2,192.2,-81.0,0.0,top
C3,187.5,-69.4,90.0,top
C4,183.6,-69.4,90.0,top
C5,183.0,-80.3,270.0,top
C6,187.0,-80.3,270.0,top
C7,181.4,-80.3,270.0,top
C8,189.0,-69.4,90.0,top
C9,181.9,-65.8,90.0,top
D1,194.8,-84.187501,270.0,top
D2,194.8,-81.0,90.0,top
D3,192.150503,-69.579497,0.0,top
D4,177.849497,-69.620502,180.0,top
J1,185.0,-85.996,0.0,top
J2,172.0,-75.0,0.0,top
J3,185.0,-62.0,90.0,top
J4,198.0,-75.0,0.0,top
R1,177.3,-86.576,270.0,top
R2,178.9,-86.576,270.0,top
R3,194.0,-62.4,90.0,top
R4,192.150503,-71.179498,180.0,top
R5,192.2,-79.41,180.0,top
R6,192.2,-88.6,180.0,top
R7,177.849497,-71.220503,0.0,top
SW1,177.8,-66.2,0.0,top
SW2,192.2,-66.0,180.0,top
SW3,192.2,-75.0,90.0,top
SW4,177.8,-75.0,90.0,top
U1,192.2,-84.0,90.0,top
U2,185.0,-75.0,0.0,top
Y1,185.0,-65.8,180.0,top
